timestamp,tempA,otemp,lumA,door1A,door2A,rso1A,rso2A,rso3A,rso4A,hour,minute,second
2025-04-02T15:51:13.352112,14.609,283.246,0.951,True,True,105.262,105.262,109.31,109.31,23.0,59.0,55.0
2025-04-02T15:51:15.909962,14.609,283.246,0.951,True,True,105.262,105.262,109.31,109.31,23.0,59.0,58.0
2025-04-02T15:51:18.461610,14.608,283.246,0.951,True,True,105.262,105.262,109.31,109.31,0.0,0.0,0.0
2025-04-02T15:51:21.011256,14.467,283.258,0.951,True,True,105.262,105.262,109.31,109.31,0.0,14.0,48.0
2025-04-02T15:51:23.568962,13.471,284.204,0.951,True,True,105.262,105.262,109.31,109.31,2.0,31.0,28.0
2025-04-02T15:51:26.133090,13.576,287.691,10.0,True,True,105.262,105.262,109.31,109.31,6.0,3.0,44.0
2025-04-02T15:51:28.689943,15.589,291.15,10.0,True,True,105.262,105.262,109.31,109.31,9.0,37.0,4.0
2025-04-02T15:51:31.233336,17.528,291.15,10.0,True,True,105.262,105.262,109.31,109.31,13.0,8.0,44.0
2025-04-02T15:51:33.795197,18.34,289.077,10.0,True,True,105.262,105.262,109.31,109.31,16.0,42.0,4.0
2025-04-02T15:51:36.330900,17.082,285.179,5.645,True,True,105.262,105.262,109.31,109.31,20.0,13.0,44.0
2025-04-02T15:51:38.882143,14.755,283.27,0.951,True,True,105.262,105.262,109.31,109.31,23.0,47.0,4.0
2025-04-02T15:51:41.431006,12.721,284.839,3.565,False,True,105.262,105.262,109.31,109.31,3.0,18.0,44.0
2025-04-02T15:51:43.980334,14.366,288.622,10.0,False,True,105.262,105.262,109.31,109.31,6.0,52.0,4.0
2025-04-02T15:51:46.502542,17.092,291.15,10.0,False,False,105.262,105.262,109.31,109.31,10.0,22.0,4.0
2025-04-02T15:51:49.058452,18.032,291.15,10.0,False,False,105.262,105.262,109.31,109.31,13.0,53.0,44.0
2025-04-02T15:51:51.605752,16.427,288.199,10.0,False,False,105.262,105.262,109.31,109.31,17.0,27.0,4.0
2025-04-02T15:51:54.163748,13.398,284.531,2.069,False,False,105.262,105.262,109.31,109.31,21.0,0.0,24.0
2025-04-02T15:51:56.720229,11.537,283.333,0.951,False,False,105.262,105.262,109.31,109.31,0.0,32.0,4.0
2025-04-02T15:51:59.285384,12.366,285.57,7.874,False,False,105.262,105.262,109.31,109.31,4.0,5.0,24.0
2025-04-02T15:52:01.837586,15.369,289.597,4.058,False,False,-90.77,-90.77,109.31,109.31,7.0,38.0,44.0
2025-04-02T15:52:04.398208,17.499,291.15,4.042,False,False,-90.77,-90.77,109.31,109.31,11.0,12.0,4.0
